dialogue,label
"야 뭐해
나 지금 카페에서 커피 마시면서 쉬고 있어
거기 시끄럽네
응 여기 사람들이 많아서 좀 시끄러워
근데 너 그 프로그램 봤어 어제 방송한 거
어 봤어 하하 진짜 재밌더라
맞아 그 주인공 완전 웃겼어 진짜 그런 상황에서 저런 반응 하다니
그러니까 진짜 대박이었어 그리고 그 장면에서 배경 음악도 딱 맞아서 깜짝 놀랐어
음악이 딱 적절했지 나도 덕분에 더 몰입됐어
다음 주 내용도 기대돼 어떻게 될지 전혀 상상이 안 가
나도 그래 다음 주도 꼭 보자
그래 나중에 또 얘기하자
응 나중에 봐",0
"야 어디가
응 지금 버스 타고 가고 있어
아 그렇구나 요즘 무슨 프로그램 봐
나 그 드라마 봤어 이번 주 것도 재밌더라
아 그 배우 엄청 멋있다며
응 진짜 연기 잘하더라
스토리도 괜찮아
그러게 완전 몰입하게 되더라고
너도 주말에 꼭 봐
봐야겠다 어디까지 방영했어 지금
이번 주까지 5화 나왔어
그럼 시간 있을 때 몰아서 봐야겠네
그래 그래 쉬는 날에 한번에 봐
오케이 한번 봐봐 내가 추천할게
알았어 추천 고마워 다음에 얘기하자
응 나중에 봐
그래 잘 가
",0
"야 뭐해
어 나 지금 도서관에서 책 읽고 있어
아 조용히 해야겠네
그래도 괜찮아 이야기 좀 해봐
넷플릭스에서 뭐 재밌는 거 없어
음 그 새로운 드라마 봤어 최근에 나왔던 거
어 그래 그거 나도 봤어
주인공 캐릭터 되게 독특하지 않았어
맞아 성격이 되게 입체적이라서
나는 그 주인공이 처음에 그렇게 나올 줄 몰랐어
하하 그러게 스토리 전개가 예상 밖이더라고
생각보다 감동적인 부분도 많았는데
맞아 맞아 나도 몇 번 울 뻔했어
다음엔 우리가 같이 볼래
좋아 그럼 도서관 나가고 나서 이야기하자
오케이 그럼 이따 보자",0
"야 너 지금 어디야
나 카페인데 좀 시끄럽지
음 괜찮아 잘 들려
혹시 최근에 넷플릭스에서 본 드라마 있어
어 나 그거 봤어 진짜 재밌더라
그치 그 줄거리 완전 대박이었어
특히 주인공 캐릭터가 너무 멋있지 않냐
응 맞아 그 캐릭터가 사건을 어떻게 해결하는지도 흥미진진했어
나도 그부분에서 완전 몰입했어 하하
근데 마지막에 반전이 있었던 거 알아
어 완전 충격이었어
그래서 더 재밌었던 거 같아
다음 시즌도 나오면 좋겠다
응 나도 기다리고 있어
그러면 나중에 같이 정주행 할까
좋지 좋아 얼른 만나자
그래 그럼 나중에 시간 맞춰보자
오케이 연락할게 조심히 다녀와",0
"안녕하세요 바쁘실 텐데 시간 내주셔서 감사합니다
아 네 안녕하세요 괜찮으세요
네 지금 밖이라 바람 소리가 좀 들리는데 괜찮으세요
네네 잘 들려요
다름이 아니라 다음 작품에 대해 말씀드리려고요 이번에 역할이 아주 특별해서요
음 그렇군요 어떤 역할인지 좀 더 설명해주실 수 있나요
네 이번 영화는 시대극인데요 주인공 역할을 생각하고 있습니다 스케줄이 어떻게 되시나요
오 시대극이라니 흥미롭네요 음 다음 달이면 좀 여유가 있을 것 같아요
다행이네요 그럼 다음 주에 한 번 만나서 자세히 얘기 나눌 수 있을까요
네 좋아요 그럼 다음 주에 뵈어요 장소는 추후에 정해서 다시 연락드리겠습니다
알겠습니다 그럼 다음 주에 봬요
네 감사합니다 연락 주셔서
감사합니다 좋은 하루 되세요
네 수고하세요",0
"안녕하세요 지금 통화 가능하세요
네 말씀하세요 저 밖에 나와서 잘 안 들리면 말씀하세요
아 네 저희 영화 프로젝트에 대해 말씀드리고 싶어서요
아 그렇군요 어떤 역할인가요
주인공 역할인데요 아마 스케줄에 따라 조정이 가능할 거예요
음 그럼 일단 시나리오를 좀 볼 수 있을까요
네 물론입니다 메일로 보내드릴게요 그리고 만남 일정을 조정하고 싶어요
좋습니다 그러면 다음 주 중에 스케줄 확인해서 다시 연락드릴게요
네 알겠습니다 바람이 부네요 잘 들어가세요
감사합니다 연락 기다리겠습니다",0
"어 나야 지금 집이야
어 잘 지내
요즘 바쁘지
응 그렇지 뭐
주말에 시간 좀 낼 수 있어
어디 조용한 데서 볼까
응 좋아
우리 그날 또 사람 없을 때 갔던 카페 갈까
어 좋지
거기 사람도 별로 없고 괜찮더라
그래 그럼 오후쯤에
아니면 저녁도 괜찮고
응 편한 시간 말해줘
우리 이렇게라도 시간 맞춰서 좋다
맞아 나도 그래
하하 그럼 그때 보자
오케이 나중에 연락해",0
"어 지금 전화 괜찮아
응 나 괜찮아
오늘 스케줄 어떻게 돼
저녁에 촬영 끝나고 조용한 데 가면 어때
그럼 어디로 갈까
그 골목 작은 카페 기억나
아 거기 좋다
사람도 적고 조용해서 좋지
시간 딱 맞춰서 가면 될 거 같아
그럼 언제 쯤 출발할까
7시쯤 끝나니까 8시에 만나자
확인해보고 연락해줄게
알겠어 나도 조심할게
그럼 이따 봐
응 이따 봐
",0
"어어 지금 잠깐 시간 돼
그래 뭐 얘기해봐
오늘 회의때 좀 답답하지 않던
맞아 좀 꼼꼼하게 하시긴 하는데 종종 이게 너무 디테일하게 들어가시잖아
그치 그게 오히려 우리 작업 속도 늦추는 경우도 있고
근데 성격상 꼼꼼하신 건 좋은 면도 있지 않나
맞아 실수는 줄어들긴 하는데 가끔 우리가 더 빨리 처리할 수 있다 생각 날 때 좀 답답해
그치 이거 어떻게 좀 조율할 방법 없을까
음 나중에 살짝 말씀드리거나 우리끼리 좀 맞춰서 준비해보는 것도 어떨까 싶어
그것도 괜찮네 일단 다음 미팅에서 한번 해보자
응 그래 나중에 상황 봐서 다시 얘기하자
오케이 그럼 그렇게 정리하는 걸로 할게",0
"안녕 지금 어디야
나 도서관이야 조용히 해야 돼
아 그래 거기 괜찮아
응 여기 조용해서 좋아
저기 혹시 지난번에 상사 얘기했던 거 생각나
아 그럼 그 분 성격이 좀 독특하지
맞아 잘 챙겨주긴 하는데 가끔은 까다로워
일도 꼼꼼하게 보시는 편이니까 그렇겠지
그렇지 뭐 확실히 일할 땐 철저한 편이더라
근데 그게 장점도 되고 단점도 되는 것 같아
맞아 그래서 같이 일할 땐 좀 준비 철저히 해야 하잖아
응 나도 그래서 미리 체크리스트 만들어 두고 있어
그럼 우리 이번 프로젝트 끝나면 같이 밥 한번 먹는 것도 괜찮겠다
그래 나중에 기회 되면 또 얘기하자
응 알았어 그럼 나중에 봐",0
"야 뭐해
어 나 밖에 나와 있어
그거 말이야 게임 아이템 얘기 좀 해볼까
그래 나도 생각했어
음 그거 가격이 조금 비싼 거 같은데
그러게 나도 좀 깎아줬으면 했어
응 그러면 좀 서로에게 이득이 될 텐데
음 맞아 그럼 어느 정도까지 가능할까
음 일단 내가 30% 정도 할인을 원했거든
오 그래 그럼 내가 한번 그쪽에 말해볼게
좋네 그렇게 하면 좋겠다
알겠어 좀 확인해보고 다시 연락줄게
오케이 밖에서 바람 좀 쐐면서 얘기하니까 좋네
하하 그러게 연락 줄게
응 나중에 봐",0
"야 뭐해
어 나 지금 카페인데 좀 시끄럽다
아 그래 나도 카페야 어떻게 잘 지내
응 뭐 잘 지내고 있어 근데 그건 알아봤어
응 그게 말이야 그 아이템 가격이 생각보다 좀 비싸더라고
진짜 얼마 정도야
한 삼만 원 정도
음 그럼 좀 깎아줄 수 없는지 물어볼까
그래 그게 좋을 것 같아 거래 조건도 한번 잘 얘기해보고
오케이 그러면 내가 연락해볼게
그래 그렇게 하고 나중에 결과 알려줘
알겠어 그럼 나중에 봐
그래 연락할게",0
